,ID,Age,Sex,Math Score,DS Score,Physics Score
214,215,19,2,66.0,60.0,62.0
215,216,19,1,88.0,0.0,69.0
216,217,20,1,82.0,76.0,78.0
217,218,18,1,82.0,76.0,78.0
218,219,19,1,45.0,39.0,41.0
219,220,18,2,95.0,89.0,91.0
220,221,19,1,66.0,60.0,62.0
221,222,21,1,85.0,79.0,81.0
222,223,18,1,82.0,76.0,78.0
223,224,18,1,91.0,85.0,87.0
224,225,21,2,85.0,79.0,81.0
225,226,20,1,95.0,89.0,91.0
226,227,20,1,53.0,47.0,49.0
227,228,20,1,91.0,85.0,87.0
228,229,19,1,45.0,39.0,41.0
229,230,18,2,65.0,59.0,61.0
230,231,20,1,75.0,69.0,71.0
231,232,18,1,91.0,85.0,87.0
232,233,20,1,53.0,47.0,49.0
233,234,18,1,53.0,47.0,49.0
234,235,18,2,53.0,47.0,49.0
235,236,18,1,95.0,89.0,91.0
236,237,20,1,75.0,69.0,71.0
237,238,20,1,95.0,89.0,91.0
238,239,18,1,82.0,76.0,78.0
239,240,18,2,53.0,47.0,49.0
240,241,18,1,95.0,89.0,91.0
241,242,20,1,75.0,69.0,71.0
242,243,18,1,66.0,60.0,62.0
243,244,20,1,91.0,85.0,87.0
244,245,20,2,91.0,85.0,87.0
245,246,18,1,85.0,79.0,81.0
246,247,20,1,75.0,69.0,71.0
247,248,18,1,66.0,60.0,62.0
248,249,20,1,75.0,69.0,71.0
249,250,19,2,88.0,82.0,84.0
250,251,18,1,88.0,82.0,84.0
251,252,20,1,82.0,76.0,78.0
252,253,18,1,65.0,59.0,61.0
253,254,19,1,45.0,39.0,41.0
254,255,18,2,85.0,79.0,81.0
255,256,19,1,65.0,59.0,61.0
256,257,20,1,75.0,69.0,71.0
257,258,18,1,75.0,69.0,71.0
258,259,20,1,53.0,47.0,49.0
259,260,18,2,45.0,39.0,41.0
260,261,18,1,91.0,85.0,87.0
261,262,18,1,95.0,89.0,91.0
262,263,18,1,95.0,89.0,91.0
263,264,20,1,82.0,76.0,78.0
264,265,18,2,53.0,47.0,49.0
265,266,21,1,66.0,60.0,62.0
266,267,19,1,45.0,39.0,41.0
267,268,20,1,82.0,76.0,78.0
268,269,19,1,65.0,59.0,61.0
269,270,19,2,65.0,59.0,61.0
270,271,21,1,88.0,82.0,84.0
271,272,20,1,82.0,76.0,78.0
272,273,18,1,95.0,89.0,91.0
273,274,20,1,53.0,47.0,49.0
274,275,18,2,91.0,85.0,87.0
275,276,19,1,65.0,59.0,61.0
276,277,19,1,65.0,59.0,61.0
277,278,18,1,91.0,85.0,87.0
278,279,18,1,66.0,60.0,62.0
279,280,19,2,65.0,59.0,61.0
280,281,19,1,45.0,39.0,41.0
281,282,20,1,91.0,85.0,87.0
282,283,21,1,45.0,39.0,41.0
283,284,20,1,53.0,47.0,49.0
284,285,18,2,75.0,69.0,71.0
285,286,18,1,53.0,47.0,49.0
286,287,18,1,95.0,89.0,91.0
287,288,18,1,95.0,89.0,91.0
288,289,19,1,85.0,79.0,81.0
289,290,20,2,91.0,85.0,87.0
290,291,19,1,66.0,60.0,62.0
291,292,20,1,95.0,89.0,91.0
292,293,19,1,88.0,82.0,84.0
293,294,19,1,85.0,79.0,81.0
294,295,18,2,66.0,60.0,62.0
295,296,20,1,95.0,89.0,91.0
296,297,18,1,91.0,85.0,87.0
297,298,20,1,95.0,89.0,91.0
298,299,18,1,85.0,79.0,81.0
299,300,18,2,91.0,85.0,87.0
300,301,19,1,64.0,58.0,60.0
301,302,18,1,53.0,47.0,49.0
302,303,19,1,85.0,79.0,81.0
303,304,21,1,66.0,60.0,62.0
304,305,20,2,53.0,47.0,49.0
305,306,20,1,82.0,76.0,78.0
306,307,18,1,75.0,69.0,71.0
307,308,18,1,75.0,69.0,71.0
308,309,19,1,64.0,58.0,60.0
309,310,19,2,88.0,82.0,84.0
310,311,20,1,91.0,85.0,87.0
311,312,18,1,75.0,69.0,71.0
312,313,21,1,66.0,60.0,62.0
313,314,18,1,82.0,76.0,78.0
314,315,21,2,45.0,39.0,41.0
315,316,19,1,66.0,60.0,62.0
316,317,19,1,66.0,60.0,62.0
317,318,20,1,91.0,85.0,87.0
318,319,19,1,66.0,60.0,62.0
319,320,18,2,75.0,69.0,71.0
320,321,20,1,91.0,85.0,87.0
321,322,18,1,45.0,39.0,41.0
322,323,18,1,75.0,69.0,71.0
323,324,20,1,75.0,69.0,71.0
324,325,21,2,65.0,59.0,61.0
325,326,19,1,66.0,60.0,62.0
326,327,19,1,85.0,79.0,81.0
327,328,21,1,65.0,59.0,61.0
328,329,20,1,95.0,89.0,91.0
329,330,18,2,95.0,89.0,91.0
330,331,18,1,95.0,89.0,91.0
331,332,20,1,53.0,47.0,49.0
332,333,19,1,66.0,60.0,62.0
333,334,18,1,66.0,60.0,62.0
334,335,20,2,53.0,47.0,49.0
335,336,20,1,95.0,89.0,91.0
336,337,20,1,91.0,85.0,87.0
337,338,19,1,65.0,59.0,61.0
338,339,18,1,88.0,82.0,84.0
339,340,21,2,88.0,82.0,84.0
340,341,19,1,65.0,59.0,61.0
341,342,19,1,66.0,60.0,62.0
342,343,21,1,66.0,60.0,62.0
343,344,18,1,45.0,39.0,41.0
344,345,21,2,88.0,82.0,84.0
345,346,20,1,95.0,89.0,91.0
346,347,19,1,66.0,60.0,62.0
347,348,18,1,91.0,85.0,87.0
348,349,19,1,85.0,79.0,81.0
349,350,19,2,65.0,59.0,61.0
350,351,18,1,75.0,69.0,71.0
351,352,18,1,31.0,25.0,27.0
352,353,18,1,65.0,59.0,61.0
353,354,18,1,95.0,89.0,91.0
354,355,20,2,82.0,76.0,78.0
355,356,18,1,82.0,76.0,78.0
356,357,18,1,65.0,59.0,61.0
357,358,21,1,88.0,82.0,84.0
358,359,18,1,75.0,69.0,71.0
359,360,21,2,45.0,39.0,41.0
360,361,18,1,45.0,39.0,41.0
361,362,20,1,75.0,69.0,71.0
362,363,19,1,88.0,82.0,84.0
363,364,19,1,85.0,79.0,81.0
364,365,19,2,66.0,60.0,62.0
365,366,18,1,66.0,60.0,62.0
366,367,20,1,75.0,69.0,71.0
367,368,20,1,75.0,69.0,71.0
368,369,19,1,45.0,39.0,41.0
369,370,20,2,91.0,85.0,87.0
370,371,18,1,91.0,85.0,87.0
371,372,18,1,82.0,76.0,78.0
372,373,20,1,75.0,69.0,71.0
373,374,20,1,91.0,85.0,87.0
374,375,19,2,88.0,82.0,84.0
375,376,21,1,88.0,82.0,84.0
376,377,19,1,66.0,60.0,62.0
377,378,18,1,95.0,89.0,91.0
378,379,18,1,45.0,39.0,41.0
379,380,20,2,53.0,47.0,49.0
380,381,20,1,91.0,85.0,87.0
381,382,18,1,75.0,69.0,71.0
382,383,21,1,66.0,60.0,62.0
383,384,19,1,66.0,60.0,62.0
384,385,20,2,91.0,85.0,87.0
385,386,18,1,85.0,79.0,81.0
386,387,20,1,82.0,76.0,78.0
387,388,19,1,66.0,60.0,62.0
388,389,18,1,75.0,69.0,71.0
389,390,18,2,91.0,85.0,87.0
390,391,19,1,45.0,39.0,41.0
391,392,20,1,0.0,76.0,78.0
392,393,20,1,91.0,85.0,87.0
393,394,18,1,75.0,69.0,71.0
394,395,20,2,82.0,76.0,78.0
395,396,20,1,95.0,89.0,91.0
396,397,19,1,88.0,82.0,84.0
397,398,19,1,65.0,59.0,61.0
398,399,21,1,85.0,79.0,81.0
399,400,18,2,91.0,85.0,87.0
400,401,20,1,91.0,85.0,87.0
401,402,20,1,53.0,47.0,49.0
402,403,20,1,95.0,89.0,91.0
403,404,18,1,95.0,89.0,91.0
404,405,18,2,53.0,47.0,49.0
405,406,19,1,45.0,39.0,41.0
406,407,18,1,75.0,69.0,71.0
407,408,18,1,65.0,59.0,61.0
408,409,19,1,45.0,39.0,41.0
409,410,18,2,82.0,76.0,78.0
410,411,18,1,82.0,76.0,78.0
411,412,19,1,66.0,60.0,62.0
412,413,21,1,65.0,59.0,61.0
413,414,19,1,66.0,60.0,62.0
414,415,18,2,95.0,89.0,91.0
415,416,21,1,45.0,39.0,41.0
416,417,19,1,65.0,59.0,61.0
417,418,19,1,88.0,0.0,57.0
418,419,19,1,65.0,59.0,61.0
419,420,18,2,85.0,79.0,81.0
420,421,18,1,75.0,69.0,71.0
421,422,20,1,82.0,76.0,78.0
422,423,20,1,82.0,76.0,78.0
423,424,21,1,66.0,60.0,62.0
424,425,19,2,85.0,79.0,81.0
425,426,18,1,75.0,69.0,71.0
426,427,20,1,91.0,85.0,87.0
427,428,19,1,65.0,59.0,61.0
428,429,20,1,82.0,76.0,78.0
429,430,18,2,45.0,39.0,41.0
430,431,20,1,95.0,89.0,91.0
431,432,18,1,88.0,82.0,84.0
432,433,18,1,53.0,47.0,49.0
433,434,18,1,82.0,76.0,78.0
434,435,19,2,66.0,60.0,62.0
435,436,20,1,91.0,85.0,87.0
436,437,18,1,45.0,39.0,41.0
437,438,18,1,53.0,47.0,49.0
438,439,19,1,85.0,79.0,81.0
439,440,18,2,91.0,85.0,87.0
440,441,18,1,53.0,47.0,49.0
441,442,19,1,88.0,82.0,84.0
442,443,18,1,85.0,79.0,81.0
443,444,19,1,45.0,39.0,41.0
444,445,18,2,53.0,47.0,49.0
445,446,20,1,75.0,69.0,71.0
446,447,19,1,85.0,79.0,81.0
447,448,19,1,66.0,60.0,62.0
448,449,20,1,82.0,76.0,78.0
449,450,19,2,85.0,79.0,81.0
450,451,20,1,82.0,76.0,78.0
451,452,18,1,82.0,76.0,78.0
452,453,18,1,95.0,89.0,91.0
453,454,19,1,85.0,79.0,81.0
454,455,20,2,75.0,69.0,71.0
455,456,20,1,91.0,85.0,87.0
456,457,18,1,95.0,89.0,91.0
457,458,20,1,95.0,89.0,91.0
458,459,18,1,53.0,47.0,49.0
459,460,18,2,85.0,79.0,81.0
460,461,20,1,95.0,89.0,91.0
461,462,19,1,65.0,59.0,61.0
462,463,20,1,91.0,85.0,87.0
463,464,20,1,75.0,69.0,71.0
464,465,21,2,45.0,0.0,45.0
465,466,20,1,53.0,47.0,49.0
466,467,21,1,88.0,82.0,84.0
467,468,18,1,66.0,60.0,62.0
468,469,18,1,53.0,47.0,49.0
469,470,18,2,82.0,76.0,78.0
470,471,18,1,82.0,76.0,78.0
471,472,20,1,53.0,47.0,49.0
472,473,21,1,85.0,79.0,81.0
473,474,21,1,45.0,39.0,41.0
474,475,20,2,91.0,85.0,87.0
475,476,20,1,82.0,76.0,78.0
476,477,19,1,45.0,39.0,41.0
477,478,18,1,75.0,69.0,71.0
478,479,18,1,95.0,89.0,91.0
479,480,21,2,88.0,82.0,84.0
480,481,19,1,88.0,82.0,84.0
481,482,18,1,85.0,79.0,81.0
482,483,20,1,82.0,76.0,78.0
483,484,19,1,66.0,60.0,62.0
484,485,18,2,88.0,82.0,84.0
485,486,20,1,91.0,85.0,87.0
486,487,20,1,95.0,89.0,91.0
487,488,18,1,75.0,69.0,71.0
488,489,18,1,75.0,69.0,71.0
489,490,20,2,53.0,47.0,49.0
490,491,18,1,88.0,82.0,84.0
491,492,20,1,82.0,76.0,78.0
492,493,19,1,88.0,82.0,84.0
493,494,20,1,91.0,85.0,87.0
494,495,18,2,75.0,69.0,71.0
495,496,18,1,75.0,69.0,71.0
496,497,18,1,91.0,85.0,87.0
497,498,19,1,85.0,79.0,81.0
498,499,18,1,88.0,82.0,84.0
499,500,18,2,53.0,47.0,49.0
500,501,20,1,53.0,47.0,49.0
501,502,18,1,65.0,59.0,61.0
502,503,18,1,91.0,85.0,87.0
503,504,18,1,91.0,85.0,87.0
504,505,19,2,45.0,39.0,41.0
505,506,21,1,66.0,60.0,62.0
506,507,21,1,66.0,60.0,62.0
507,508,18,1,53.0,47.0,49.0
508,509,19,1,65.0,59.0,61.0
509,510,18,2,53.0,47.0,49.0
510,511,18,1,91.0,85.0,87.0
511,512,20,1,82.0,76.0,78.0
512,513,19,1,45.0,39.0,41.0
513,514,19,1,65.0,59.0,61.0
514,515,18,2,65.0,59.0,61.0
515,516,18,1,53.0,47.0,49.0
516,517,18,1,82.0,76.0,78.0
517,518,19,1,88.0,82.0,84.0
518,519,20,1,95.0,89.0,91.0
519,520,19,2,64.0,58.0,60.0
520,521,20,1,82.0,76.0,78.0
521,522,19,1,45.0,39.0,41.0
522,523,18,1,53.0,47.0,49.0
523,524,21,1,45.0,39.0,41.0
524,525,19,2,85.0,79.0,81.0
525,526,18,1,91.0,85.0,87.0
526,527,20,1,75.0,69.0,71.0
527,528,18,1,88.0,82.0,84.0
528,529,19,1,45.0,39.0,41.0
529,530,19,2,88.0,82.0,84.0
530,531,18,1,45.0,39.0,41.0
531,532,21,1,65.0,59.0,61.0
532,533,21,1,45.0,39.0,41.0
533,534,21,1,88.0,82.0,84.0
534,535,20,2,95.0,89.0,91.0
535,536,20,1,95.0,89.0,91.0
536,537,18,1,82.0,76.0,78.0
537,538,19,1,65.0,59.0,61.0
538,539,18,1,91.0,85.0,87.0
539,540,18,2,65.0,59.0,61.0
540,541,21,1,66.0,60.0,62.0
541,542,18,1,95.0,89.0,91.0
542,543,18,1,82.0,76.0,78.0
543,544,20,1,75.0,69.0,71.0
544,545,20,2,82.0,76.0,78.0
545,546,19,1,85.0,79.0,81.0
546,547,19,1,65.0,59.0,61.0
547,548,18,1,88.0,82.0,84.0
548,549,19,1,85.0,79.0,81.0
549,550,20,2,82.0,76.0,78.0
550,551,18,1,82.0,76.0,78.0
551,552,18,1,91.0,85.0,87.0
552,553,19,1,85.0,79.0,81.0
553,554,21,1,65.0,59.0,61.0
554,555,19,2,66.0,60.0,62.0
555,556,18,1,82.0,76.0,78.0
556,557,19,1,66.0,60.0,62.0
557,558,19,1,65.0,59.0,61.0
558,559,18,1,91.0,85.0,87.0
559,560,20,2,95.0,89.0,91.0
560,561,18,1,66.0,60.0,62.0
561,562,20,1,53.0,47.0,49.0
562,563,19,1,65.0,59.0,61.0
563,564,18,1,45.0,39.0,41.0
564,565,21,2,0.0,59.0,61.0
565,566,18,1,65.0,59.0,61.0
566,567,21,1,66.0,60.0,62.0
567,568,18,1,53.0,47.0,49.0
568,569,20,1,95.0,89.0,91.0
569,570,19,2,65.0,59.0,61.0
570,571,19,1,45.0,39.0,41.0
571,572,20,1,82.0,76.0,78.0
572,573,18,1,53.0,47.0,49.0
573,574,18,1,85.0,79.0,81.0
574,575,20,2,75.0,69.0,71.0
575,576,21,1,85.0,79.0,81.0
576,577,18,1,75.0,69.0,71.0
577,578,19,1,85.0,79.0,81.0
578,579,18,1,82.0,76.0,78.0
579,580,21,2,65.0,59.0,61.0
580,581,18,1,95.0,89.0,91.0
581,582,20,1,91.0,85.0,87.0
582,583,21,1,45.0,39.0,41.0
583,584,18,1,95.0,89.0,91.0
584,585,18,2,91.0,85.0,87.0
585,586,20,1,53.0,47.0,49.0
586,587,19,1,85.0,79.0,81.0
587,588,18,1,45.0,39.0,41.0
588,589,19,1,88.0,82.0,84.0
589,590,20,2,82.0,76.0,78.0
590,591,19,1,65.0,59.0,61.0
591,592,19,1,88.0,82.0,84.0
592,593,20,1,91.0,85.0,87.0
593,594,19,1,88.0,82.0,84.0
594,595,19,2,45.0,39.0,41.0
595,596,18,1,75.0,69.0,71.0
596,597,20,1,53.0,47.0,49.0
597,598,20,1,75.0,69.0,71.0
598,599,19,1,88.0,0.0,69.0
